ORF,ranks,weighted_rank
YBL072C,779,0.534738847
YBL073W,3,0.437437437
YBL074C,249,0.37989797
YBL075C,823,0.28517582
YBL076C,851,0.337244412
YBL077W,26,0.333872334
YBL078C,754,0.352532904
YBL079W,435,0.327707017
YBL080C,439,0.28905671
YBL081W,90,0.333689245
YBL082C,233,0.418061839
YBL083C,50,0.504864865
YBL084C,637,0.328315757
YBL085W,177,0.376998467
YBL086C,51,0.3453846
YBL087C,643,0.567069402
YBL088C,636,0.409425148
YBL089W,190,0.312133186
YBL090W,184,0.566218392
YBL091C,785,0.298465344
YBL091C-A,98,0.530602031
YBL092W,574,0.602445651
YBL093C,183,0.482455133
YBL094C,26,0.488141988
YBL095W,83,0.320115296
YBL096C,2,0.476976977
YBL097W,364,0.399058399
YBL098W,399,0.300340441
YBL099W,1018,0.41455601
YBL100C,2,0.548048048
YBL100W-A,66,0.238784239
YBL100W-B,14,0.210782211
YBL100W-C,6,0.357357357
YBL101C,163,0.356122994
YBL102W,183,0.339164301
YBL103C,400,0.319456957
YBL104C,190,0.348390496
YBL105C,839,0.373981848
YBL106C,139,0.33192185
YBL107C,52,0.388061138
YBL107W-A,1,0.552552553
YBL108W,21,0.371800372
YBL109W,66,0.464964965
YBL111C,108,0.516497979
YBL113C,87,0.507990749
YBL113W-A,5,0.752352352
YBR001C,388,0.322229446
YBR002C,372,0.286695297
YBR003W,460,0.29129782
YBR004C,204,0.414159257
YBR005W,102,0.350684017
YBR006W,476,0.329150579
YBR007C,29,0.372717545
YBR008C,191,0.365606444
YBR009C,955,0.374906844
YBR010W,1163,0.393149814
YBR011C,721,0.296358772
YBR012C,2,0.487987988
YBR012W-A,14,0.210710711
YBR012W-B,55,0.263718264
YBR013C,40,0.460985986
YBR014C,220,0.277541178
YBR015C,193,0.34449994
YBR016W,120,0.402260594
YBR017C,439,0.357200025
YBR018C,270,0.309683758
YBR019C,1241,0.301798979
YBR020W,1008,0.314778072
YBR021W,262,0.379218914
YBR022W,239,0.282047738
YBR023C,574,0.312125715
YBR024W,296,0.31428726
YBR025C,627,0.286611971
YBR026C,354,0.316367215
YBR027C,3,0.545211879
YBR028C,303,0.271092875
YBR029C,486,0.302790445
YBR030W,80,0.401276276
YBR031W,864,0.500076465
YBR032W,7,0.505648506
YBR033W,52,0.302129052
YBR034C,1130,0.353059254
YBR035C,327,0.304702256
YBR036C,206,0.361473124
YBR037C,285,0.317183851
YBR038W,422,0.287842345
YBR039W,719,0.366561276
YBR040W,150,0.330156823
YBR041W,238,0.483012424
YBR042C,257,0.294321559
YBR043C,138,0.337816077
YBR044C,663,0.28594809
YBR045C,120,0.474416083
YBR046C,278,0.283477722
YBR047W,113,0.344468362
YBR048W,743,0.573262361
YBR049C,1013,0.284595553
YBR050C,179,0.400003355
YBR051W,1,0.800800801
YBR052C,250,0.273125125
YBR053C,291,0.263569411
YBR054W,170,0.309114997
YBR055C,387,0.421157592
YBR056C-B,9,0.359248137
YBR056W,392,0.342429164
YBR056W-A,130,0.366651267
YBR057C,96,0.323208625
YBR058C,386,0.361159087
YBR058C-A,117,0.361541028
YBR059C,331,0.274664392
YBR060C,417,0.413262183
YBR061C,562,0.367141163
YBR062C,305,0.295039302
YBR063C,5,0.431231231
YBR064W,3,0.483483483
YBR065C,254,0.447143994
YBR066C,325,0.267889428
YBR067C,49,0.33729648
YBR068C,191,0.316007107
YBR069C,211,0.296419642
YBR070C,128,0.386879067
YBR071W,31,0.512803126
YBR072C-A,28,0.34984985
YBR072W,689,0.322595455
YBR073W,510,0.318388977
YBR074W,181,0.323815528
YBR076C-A,1,0.970970971
YBR076W,77,0.36043836
YBR077C,142,0.340058368
YBR078W,267,0.297068604
YBR079C,750,0.383631632
YBR080C,596,0.345308396
YBR081C,614,0.31318289
YBR082C,702,0.376963858
YBR083W,398,0.378818517
YBR084C-A,577,0.559896118
YBR084W,552,0.302849951
YBR085C-A,139,0.303461735
YBR085W,470,0.295525313
YBR086C,184,0.345269182
YBR087W,565,0.415695341
YBR088C,979,0.410671141
YBR089C-A,327,0.317014262
YBR089W,3,0.373039706
YBR090C,3,0.306306306
YBR091C,393,0.352821014
YBR092C,244,0.296501419
YBR093C,199,0.34386648
YBR094W,165,0.33700367
YBR095C,198,0.365436143
YBR096W,16,0.260823323
