ORF,TF
YCR061W,41.0
YCR063W,32.0
YCR064C,21.0
YCR065W,40.0
YCR066W,21.0
YCR067C,16.0
YCR068W,35.0
YCR069W,36.0
YCR071C,34.0
YCR072C,28.0
YCR073C,36.0
YCR073W-A,41.0
YCR075C,28.0
YCR075W-A,2.0
YCR076C,23.0
YCR077C,31.0
YCR079W,22.0
YCR081C-A,
YCR081W,17.0
YCR082W,34.0
YCR083W,24.0
YCR084C,29.0
YCR085W,16.0
YCR086W,22.0
YCR087C-A,25.0
YCR087W,14.0
YCR088W,40.0
YCR089W,38.0
YCR090C,20.0
YCR091W,28.0
YCR092C,20.0
YCR093W,31.0
YCR094W,28.0
YCR095C,25.0
YCR095W-A,1.0
YCR096C,47.0
YCR097W,55.0
YCR097W-A,37.0
YCR098C,43.0
YCR099C,35.0
YCR100C,28.0
YCR101C,26.0
YCR102C,46.0
YCR102W-A,7.0
YCR104W,49.0
YCR105W,51.0
YCR106W,44.0
YCR107W,44.0
YCR108C,10.0
YDL001W,30.0
YDL002C,14.0
YDL003W,41.0
YDL004W,35.0
YDL005C,16.0
YDL006W,19.0
YDL007C-A,4.0
YDL007W,22.0
YDL008W,20.0
YDL009C,16.0
YDL010W,22.0
YDL011C,17.0
YDL012C,35.0
YDL013W,26.0
YDL014W,44.0
YDL015C,28.0
YDL016C,10.0
YDL017W,22.0
YDL018C,19.0
YDL019C,22.0
YDL020C,30.0
YDL021W,58.0
YDL022C-A,4.0
YDL022W,59.0
YDL023C,45.0
YDL024C,37.0
YDL025C,27.0
YDL025W-A,
YDL026W,15.0
YDL027C,28.0
YDL028C,15.0
YDL029W,38.0
YDL030W,18.0
YDL031W,21.0
YDL032W,19.0
YDL033C,18.0
YDL034W,9.0
YDL035C,19.0
YDL036C,17.0
YDL037C,67.0
YDL039C,54.0
YDL040C,38.0
YDL041W,14.0
YDL042C,13.0
YDL043C,17.0
YDL044C,27.0
YDL045C,16.0
YDL045W-A,37.0
YDL046W,26.0
YDL047W,36.0
YDL048C,74.0
YDL049C,52.0
YDL050C,15.0
YDL051W,17.0
YDL052C,27.0
YDL053C,20.0
YDL054C,25.0
YDL055C,46.0
YDL056W,22.0
YDL057W,25.0
YDL058W,25.0
YDL059C,29.0
YDL060W,35.0
YDL061C,54.0
YDL062W,17.0
YDL063C,35.0
YDL064W,27.0
YDL065C,19.0
YDL066W,27.0
YDL067C,38.0
YDL068W,11.0
YDL069C,12.0
YDL070W,46.0
YDL071C,21.0
YDL072C,41.0
YDL073W,17.0
YDL074C,22.0
YDL075W,68.0
YDL076C,26.0
YDL077C,19.0
YDL078C,27.0
YDL079C,28.0
YDL080C,12.0
YDL081C,52.0
YDL082W,36.0
YDL083C,44.0
YDL084W,26.0
YDL085C-A,11.0
YDL085W,42.0
YDL086C-A,
YDL086W,20.0
YDL087C,17.0
YDL088C,19.0
YDL089W,28.0
YDL090C,23.0
YDL091C,31.0
YDL092W,24.0
YDL093W,17.0
YDL094C,12.0
YDL095W,24.0
YDL096C,9.0
YDL097C,16.0
YDL098C,14.0
YDL099W,17.0
YDL100C,23.0
YDL101C,24.0
YDL102W,23.0
YDL103C,13.0
YDL104C,20.0
YDL105W,19.0
YDL106C,24.0
YDL107W,15.0
YDL108W,16.0
YDL109C,16.0
YDL110C,51.0
YDL111C,20.0
YDL112W,19.0
YDL113C,16.0
YDL114W,29.0
YDL114W-A,4.0
YDL115C,25.0
YDL116W,17.0
YDL117W,36.0
YDL118W,8.0
YDL119C,15.0
YDL120W,30.0
YDL121C,24.0
YDL122W,24.0
YDL123W,23.0
YDL124W,57.0
YDL125C,34.0
YDL126C,28.0
YDL127W,53.0
YDL128W,32.0
YDL129W,36.0
YDL130W,40.0
YDL130W-A,31.0
YDL131W,59.0
YDL132W,19.0
YDL133C-A,38.0
YDL133W,22.0
YDL134C,35.0
YDL135C,46.0
YDL136W,54.0
YDL137W,34.0
YDL138W,22.0
YDL139C,15.0
YDL140C,20.0
YDL141W,28.0
YDL142C,18.0
YDL143W,23.0
YDL144C,26.0
YDL145C,31.0
YDL146W,20.0
YDL147W,18.0
YDL148C,27.0
YDL149W,35.0
YDL150W,13.0
YDL151C,8.0
YDL152W,13.0
YDL153C,22.0
YDL154W,31.0
YDL155W,28.0
YDL156W,23.0
YDL157C,11.0
YDL158C,15.0
YDL159C-B,
YDL159W,23.0
YDL159W-A,11.0
YDL160C,29.0
YDL160C-A,3.0
YDL161W,20.0
YDL162C,11.0
YDL163W,9.0
YDL164C,19.0
YDL165W,21.0
YDL166C,13.0
YDL167C,34.0
YDL168W,30.0
YDL169C,31.0
YDL170W,48.0
YDL171C,36.0
YDL172C,12.0
YDL173W,27.0
YDL174C,37.0
YDL175C,19.0
YDL176W,20.0
YDL177C,18.0
YDL178W,27.0
YDL179W,25.0
YDL180W,25.0
YDL181W,42.0
YDL182W,53.0
YDL183C,30.0
YDL184C,50.0
YDL185C-A,5.0
YDL185W,20.0
YDL186W,23.0
YDL187C,18.0
YDL188C,18.0
YDL189W,15.0
YDL190C,22.0
YDL191W,53.0
YDL192W,28.0
YDL193W,26.0
YDL194W,20.0
YDL195W,17.0
YDL196W,16.0
YDL197C,15.0
YDL198C,47.0
YDL199C,32.0
YDL200C,15.0
YDL201W,45.0
YDL202W,17.0
YDL203C,16.0
YDL204W,37.0
YDL205C,30.0
YDL206W,23.0
YDL207W,18.0
YDL208W,29.0
YDL209C,15.0
YDL210W,37.0
YDL211C,33.0
YDL212W,16.0
YDL213C,19.0
YDL214C,40.0
YDL215C,41.0
YDL216C,16.0
YDL217C,15.0
YDL218W,36.0
YDL219W,23.0
YDL220C,24.0
YDL221W,14.0
YDL222C,46.0
YDL223C,43.0
YDL224C,26.0
YDL225W,23.0
YDL226C,25.0
YDL227C,61.0
YDL228C,15.0
YDL229W,50.0
YDL230W,27.0
YDL231C,23.0
YDL232W,24.0
YDL233W,18.0
YDL234C,40.0
YDL235C,22.0
YDL236W,12.0
YDL237W,23.0
YDL238C,24.0
YDL239C,26.0
YDL240C-A,6.0
YDL240W,23.0
YDL241W,59.0
YDL242W,22.0
YDL243C,24.0
YDL244W,36.0
YDL245C,46.0
YDL246C,47.0
YDL247W,32.0
YDL247W-A,4.0
YDL248W,30.0
YDR001C,36.0
YDR002W,27.0
YDR003W,22.0
YDR003W-A,6.0
YDR004W,19.0
YDR005C,21.0
YDR006C,20.0
YDR007W,22.0
YDR008C,23.0
YDR009W,36.0
YDR010C,28.0
YDR011W,62.0
YDR012W,52.0
YDR013W,21.0
YDR014W,14.0
YDR014W-A,5.0
YDR015C,8.0
YDR016C,26.0
YDR017C,16.0
YDR018C,31.0
YDR019C,58.0
YDR020C,12.0
YDR021W,14.0
YDR022C,26.0
YDR023W,27.0
YDR024W,16.0
YDR025W,26.0
YDR026C,12.0
YDR027C,20.0
YDR028C,18.0
YDR029W,19.0
YDR030C,32.0
YDR031W,36.0
YDR032C,41.0
YDR033W,51.0
YDR034C,29.0
YDR034C-A,35.0
YDR034C-C,16.0
YDR034C-D,33.0
YDR034W-B,54.0
YDR035W,30.0
YDR036C,21.0
YDR037W,31.0
YDR038C,26.0
YDR039C,30.0
YDR040C,53.0
YDR041W,49.0
YDR042C,64.0
YDR043C,62.0
YDR044W,51.0
YDR045C,19.0
YDR046C,47.0
YDR047W,28.0
YDR048C,16.0
YDR049W,22.0
YDR050C,41.0
YDR051C,15.0
YDR052C,13.0
YDR053W,9.0
YDR054C,24.0
YDR055W,56.0
YDR056C,38.0
YDR057W,16.0
YDR058C,29.0
YDR059C,26.0
YDR060W,25.0
YDR061W,23.0
YDR062W,16.0
YDR063W,33.0
YDR064W,50.0
YDR065W,26.0
YDR066C,18.0
YDR067C,22.0
YDR068W,25.0
YDR069C,18.0
YDR070C,49.0
YDR071C,28.0
YDR072C,53.0
YDR073W,37.0
YDR074W,56.0
YDR075W,24.0
YDR076W,30.0
YDR077W,86.0
YDR078C,22.0
YDR079C-A,6.0
YDR079W,23.0
YDR080W,20.0
YDR081C,15.0
YDR082W,12.0
YDR083W,22.0
YDR084C,36.0
YDR085C,43.0
YDR086C,43.0
YDR087C,29.0
YDR088C,22.0
YDR089W,32.0
YDR090C,27.0
YDR091C,34.0
YDR092W,19.0
YDR093W,17.0
YDR094W,19.0
YDR095C,17.0
YDR096W,43.0
YDR097C,19.0
YDR098C,33.0
YDR098C-A,27.0
YDR098C-B,19.0
YDR099W,47.0
YDR100W,29.0
YDR101C,27.0
YDR102C,15.0
YDR103W,18.0
YDR104C,23.0
YDR105C,27.0
YDR106W,15.0
YDR107C,32.0
YDR108W,14.0
YDR109C,17.0
YDR110W,15.0
YDR111C,31.0
YDR112W,16.0
YDR113C,22.0
YDR114C,9.0
YDR115W,28.0
YDR116C,26.0
YDR117C,11.0
YDR118W,20.0
YDR118W-A,
YDR119W,27.0
YDR119W-A,6.0
YDR120C,31.0
YDR121W,25.0
YDR122W,48.0
YDR123C,30.0
YDR124W,28.0
YDR125C,22.0
YDR126W,20.0
YDR127W,29.0
YDR128W,18.0
YDR129C,34.0
YDR130C,17.0
YDR131C,16.0
YDR132C,39.0
YDR133C,34.0
YDR134C,50.0
YDR135C,29.0
YDR136C,14.0
YDR137W,15.0
YDR138W,16.0
YDR139C,25.0
YDR140W,19.0
YDR141C,9.0
YDR142C,20.0
YDR143C,20.0
YDR144C,29.0
YDR145W,33.0
YDR146C,45.0
YDR147W,24.0
YDR148C,31.0
YDR149C,9.0
YDR150W,17.0
YDR151C,39.0
YDR152W,35.0
YDR153C,22.0
YDR154C,40.0
YDR155C,48.0
YDR156W,40.0
YDR157W,31.0
YDR158W,42.0
YDR159W,18.0
YDR160W,32.0
YDR161W,21.0
YDR162C,18.0
YDR163W,20.0
YDR164C,22.0
YDR165W,22.0
YDR166C,13.0
YDR167W,26.0
YDR168W,19.0
YDR169C,30.0
YDR169C-A,7.0
YDR170C,21.0
YDR170W-A,28.0
YDR171W,71.0
YDR172W,18.0
YDR173C,25.0
YDR174W,49.0
YDR175C,14.0
YDR176W,22.0
YDR177W,19.0
YDR178W,41.0
YDR179C,48.0
YDR179W-A,30.0
YDR180W,20.0
YDR181C,17.0
YDR182W,16.0
YDR182W-A,6.0
YDR183C-A,
YDR183W,24.0
YDR184C,33.0
YDR185C,25.0
YDR186C,39.0
YDR187C,35.0
YDR188W,37.0
YDR189W,20.0
YDR190C,23.0
YDR191W,25.0
YDR192C,32.0
YDR193W,17.0
YDR194C,28.0
YDR194W-A,2.0
YDR195W,20.0
YDR196C,20.0
YDR197W,20.0
YDR198C,12.0
YDR199W,10.0
YDR200C,19.0
YDR201W,17.0
YDR202C,17.0
YDR203W,7.0
YDR204W,23.0
YDR205W,22.0
YDR206W,18.0
YDR207C,65.0
YDR208W,26.0
YDR209C,51.0
YDR210C-C,26.0
YDR210C-D,40.0
YDR210W,45.0
YDR210W-A,20.0
YDR210W-B,12.0
YDR211W,28.0
YDR212W,22.0
YDR213W,40.0
YDR214W,44.0
YDR215C,12.0
YDR216W,56.0
YDR217C,19.0
YDR218C,23.0
YDR219C,19.0
YDR220C,16.0
YDR221W,24.0
YDR222W,69.0
YDR223W,31.0
YDR224C,55.0
YDR225W,55.0
YDR226W,36.0
YDR227W,23.0
YDR228C,18.0
YDR229W,18.0
YDR230W,12.0
YDR231C,26.0
YDR232W,36.0
YDR233C,30.0
YDR234W,39.0
YDR235W,17.0
YDR236C,15.0
YDR237W,23.0
YDR238C,21.0
YDR239C,32.0
YDR240C,15.0
YDR241W,18.0
YDR242W,32.0
YDR243C,19.0
YDR244W,29.0
YDR245W,24.0
YDR246W,26.0
YDR246W-A,13.0
YDR247W,31.0
YDR248C,23.0
YDR249C,24.0
YDR250C,14.0
YDR251W,22.0
YDR252W,17.0
YDR253C,35.0
YDR254W,27.0
YDR255C,23.0
YDR256C,37.0
YDR257C,23.0
YDR258C,39.0
YDR259C,50.0
YDR260C,23.0
YDR261C,38.0
YDR261C-C,12.0
YDR261C-D,16.0
YDR261W-A,23.0
YDR261W-B,20.0
YDR262W,28.0
YDR263C,26.0
YDR264C,29.0
YDR265W,23.0
YDR266C,25.0
YDR267C,16.0
YDR268W,20.0
YDR269C,9.0
YDR270W,27.0
YDR271C,15.0
YDR272W,26.0
YDR273W,30.0
YDR274C,30.0
YDR275W,35.0
YDR276C,47.0
YDR277C,52.0
YDR278C,29.0
YDR279W,44.0
YDR280W,28.0
YDR281C,104.0
YDR282C,30.0
YDR283C,17.0
YDR284C,33.0
YDR285W,27.0
YDR286C,25.0
YDR287W,16.0
YDR288W,16.0
YDR289C,20.0
YDR290W,15.0
YDR291W,11.0
YDR292C,19.0
YDR293C,22.0
YDR294C,34.0
YDR295C,18.0
YDR296W,25.0
YDR297W,51.0
YDR298C,52.0
YDR299W,34.0
YDR300C,20.0
YDR301W,31.0
YDR302W,17.0
YDR303C,28.0
YDR304C,15.0
YDR305C,31.0
YDR306C,21.0
YDR307W,18.0
YDR308C,18.0
YDR309C,73.0
YDR310C,26.0
YDR311W,22.0
YDR312W,24.0
YDR313C,31.0
YDR314C,28.0
YDR315C,28.0
YDR316W,22.0
YDR316W-A,25.0
YDR316W-B,19.0
YDR317W,34.0
YDR318W,16.0
YDR319C,25.0
