,Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity
19,YAL064W-B,YAL064W-B,below threshold,17.98,3.8559099999999997,ER,27.4747,below threshold,9.228860000000001,below threshold,17.2015
14,YAL065C,YAL065C,below threshold,15.78,3.9895400000000003,cytosol,25.8281,below threshold,8.36543,below threshold,15.5681
2600,YAL066W,YAL066W,below threshold,17.86,3.9515599999999997,,,,,,
1741,YAL067W-A,YAL067W-A,,,,cytosol,24.0434,missing,,below threshold,15.304
2601,YAL069W,YAL069W,below threshold,13.33,3.9100800000000002,,,,,,
2052,YAP1,YML007W,,,,cytosol,58.3843,cytosol,0.0,cytosol,39.1771
33,YAP1801,YHR161C,bud neck,,7.698860000000001,"punctate,bud neck",77.4038,"punctate,bud neck",79.5065,bud neck,31.8049
8,YAP1802,YGR241C,,,,"punctate,bud",65.8065,"cytosol,bud neck,nucleus",64.6049,"punctate,bud neck",29.7211
1641,YAP3,YHL009C,nucleus:cytosol,33.17,8.9395,"cytosol,nucleus",69.7051,nucleus,87.1716,nucleus,27.9595
520,YAP5,YIR018W,below threshold,16.32,3.1635,nucleus,41.4057,nucleus,28.9675,nucleus,24.6031
636,YAP6,YDR259C,below threshold,16.86,4.84774,nucleus,54.6114,nucleus,47.567,below threshold,16.8334
2237,YAP7,YOL028C,nucleus,25.41,6.53386,"cytosol,nucleus",42.8772,cytosol,49.9627,below threshold,19.1998
93,YAR023C,YAR023C,below threshold,17.37,4.72579,below threshold,19.9685,nucleus,5.00579,below threshold,19.8356
21,YAR028W,YAR028W,ambiguous,21.29,6.573239999999999,"punctate,vacuole membrane",82.1405,vacuole membrane,171.917,below threshold,17.1179
823,YAR029W,YAR029W,below threshold,13.93,3.9946,cytosol,49.8725,below threshold,8.52551,punctate,17.8289
2607,YAR030C,YAR030C,below threshold,13.1,4.09927,,,,,,
2608,YAR047C,YAR047C,below threshold,16.51,4.07599,,,,,,
2609,YAR053W,YAR053W,below threshold,14.11,3.69202,,,,,,
2610,YAR060C,YAR060C,below threshold,17.59,4.33637,,,,,,
1823,YAR064W,YAR064W,below threshold,13.89,3.6747199999999998,cytosol,18.1585,missing,0.0,below threshold,18.233
658,YAR066W,YAR066W,,,,ER,31.9905,vacuole,8.31593,below threshold,19.1815
2612,YAR068W,YAR068W,below threshold,16.58,4.1035900000000005,,,,,,
2613,YAR069C,YAR069C,below threshold,17.1,4.5965300000000004,,,,,,
2614,YAR070C,YAR070C,below threshold,16.78,5.06078,,,,,,
