max_5_ind_1,max_5_ind_2,max_5_ind_3,max_5_ind_4,max_5_ind_5
4381,4169,2059,1386,5203
4337,3520,3317,1498,2645
3678,6477,6236,772,3617
229,3328,-2,-2,-2
5006,297,2435,3654,6192
5006,4270,4051,1180,3996
3136,4065,5881,3913,4471
1868,5863,6075,3344,3921
4108,3667,4377,2722,6328
5621,5191,2352,1933,1138
2196,3635,5698,1169,4311
6635,4335,5738,4873,5658
2373,6397,2773,3142,4951
5017,3718,5542,1944,5565
4065,-2,-2,-2,-2
-2,-2,-2,-2,-2
1619,3574,4715,4774,2744
1619,3900,247,245,1708
247,248,244,4081,2021
-2,-2,-2,-2,-2
245,244,248,4081,2744
245,247,244,6288,3784
6483,1110,386,5035,1031
973,3432,6227,3682,863
5512,5653,2640,2215,1251
2239,3508,3840,633,5280
308,5567,6144,4297,4539
2383,5023,3861,949,5468
1704,770,5544,699,3696
4605,4727,5526,-2,4072
258,5142,121,120,5141
3375,5142,121,120,5141
2776,6399,1655,5041,4312
6366,6385,-2,-2,-2
5006,4270,4051,1180,3996
5006,3853,4588,4078,247
4859,3800,3804,272,4858
4484,615,6216,1135,6249
6207,1296,1667,3570,3448
781,1259,1070,5561,210
6331,1852,5089,2218,2341
269,1040,270,2700,4164
1040,268,270,4164,3700
269,268,4164,6413,1649
3940,1868,6023,6053,6052
121,1276,119,324,134
3359,4445,2914,187,876
4019,6292,1888,6334,6703
2942,5151,3749,4699,4010
3869,4740,386,326,4038
4470,4065,5782,-2,-2
6248,446,3561,3878,2964
6572,1745,823,585,2416
1245,6372,1309,2913,4222
846,298,446,6560,4879
1023,408,4065,1208,1841
371,4724,1118,741,5621
783,2220,5230,1537,1567
5496,1657,6586,6645,1025
6214,1108,3665,425,5046
6292,4019,1888,4029,6334
891,4784,5274,876,2773
3678,6236,772,3617,6440
4649,747,607,3053,5403
2304,6070,3909,4393,5020
6602,5919,133,823,5993
2381,2608,1159,685,6215
5753,3290,919,4984,5625
1876,1779,5922,3870,412
297,6113,4743,1141,324
2213,296,1930,2799,1289
846,446,6560,1804,3643
1359,3784,1086,4279,6240
1876,5922,3870,295,1779
300,-2,-2,-2,-2
1064,658,2291,1837,5120
307,413,2872,402,1064
5282,6463,2263,2513,1065
5900,4652,1894,813,3517
308,1070,5100,253,4539
5100,306,1070,386,303
